timestamp,symbol,open,high,low,close,volume
2025-01-02 09:30:00,SPY,98.00,98.20,97.90,98.10,100000
2025-01-02 09:31:00,SPY,98.10,98.25,98.00,98.20,102000
2025-01-02 09:32:00,SPY,98.20,98.35,98.10,98.30,101000
2025-01-02 09:33:00,SPY,98.30,98.40,98.20,98.35,99000
2025-01-02 09:34:00,SPY,98.35,98.50,98.25,98.40,99500
2025-01-03 09:30:00,SPY,96.20,96.40,96.10,96.30,110000
2025-01-03 09:31:00,SPY,96.30,96.50,96.20,96.45,108000
2025-01-03 09:32:00,SPY,96.45,96.60,96.35,96.50,107000
2025-01-03 09:33:00,SPY,96.50,96.65,96.40,96.55,105000
2025-01-03 09:34:00,SPY,96.55,96.70,96.45,96.60,103000
2025-01-02 09:30:00,QQQ,502.00,502.20,501.90,502.10,200000
2025-01-02 09:31:00,QQQ,502.10,502.30,502.00,502.20,201000
2025-01-02 09:32:00,QQQ,502.20,502.35,502.10,502.25,198000
2025-01-02 09:33:00,QQQ,502.25,502.45,502.15,502.35,202000
2025-01-02 09:34:00,QQQ,502.35,502.55,502.25,502.40,203000
2025-01-03 09:30:00,QQQ,514.50,514.80,514.30,514.60,220000
2025-01-03 09:31:00,QQQ,514.60,514.90,514.40,514.75,219000
2025-01-03 09:32:00,QQQ,514.75,515.00,514.60,514.90,218000
2025-01-03 09:33:00,QQQ,514.90,515.10,514.70,515.00,217500
2025-01-03 09:34:00,QQQ,515.00,515.15,514.85,515.05,216500
2025-01-02 09:30:00,AAPL,220.00,220.20,219.95,220.10,150000
2025-01-02 09:31:00,AAPL,220.10,220.35,220.05,220.25,148000
2025-01-02 09:32:00,AAPL,220.25,220.40,220.10,220.30,149000
2025-01-02 09:33:00,AAPL,220.30,220.38,220.12,220.15,152000
2025-01-02 09:34:00,AAPL,220.15,220.30,220.05,220.22,149500
2025-01-03 09:30:00,AAPL,215.00,215.30,214.90,215.20,170000
2025-01-03 09:31:00,AAPL,215.20,215.40,215.05,215.30,169000
2025-01-03 09:32:00,AAPL,215.30,215.45,215.10,215.25,168000
2025-01-03 09:33:00,AAPL,215.25,215.35,215.05,215.15,166000
2025-01-03 09:34:00,AAPL,215.15,215.25,214.95,215.05,165000
